Author|Title|urlFileName|urlLyric
The Beatles|Juno Beach Heroes - Yesterday|https://www.youtube.com/watch?v=WH8DntSz9fI|https://genius.com/The-beatles-yesterday-lyrics
Dark Blue Rock|Juno Beach Heroes - Brothers In Arms|https://www.youtube.com/watch?v=zcmWAJLWeXs|https://genius.com/Dire-straits-brothers-in-arms-lyrics
Sina Drums|Juno Beach Heroes  In The Army Now|https://www.youtube.com/watch?v=N2lWnyUzOTA|https://genius.com/Status-quo-in-the-army-now-lyrics
Jimi Hendrix|Juno Beach Heroes - Angel|https://www.youtube.com/watch?v=hYngN-BZRhI|https://genius.com/Jimi-hendrix-angel-lyrics
The Lady's Courtesy|Sword Beach Heroes|https://pretace.surge.sh/book/t4Sword.csv
