Author|Title|urlFileName|urlLyric
Lee Marvin|Utah Beach Heroes - Wand’rin’ Star|https://www.youtube.com/watch?v=X5kq12xf1Uk|https://genius.com/Lee-marvin-wandrin-star-lyrics
The Last of the Mohicans|Utah Beach Heroes - Promentory|https://www.youtube.com/watch?v=gizPl6mZ_ro|https://genius.com/albums/Various-artists/The-last-of-the-mohicans-original-motion-picture-soundtrack
Europe|Utah Beach Heroes - Final Countdown|https://www.youtube.com/watch?v=aaHJGKzcUxo|https://genius.com/Europe-the-final-countdown-lyrics
Queen|Utah Beach Heroes - We Are The Champions|https://www.youtube.com/watch?v=9XZh-SdIzaU|https://genius.com/Queen-we-are-the-champions-lyrics
The Lady's Courtesy|Omaha Beach Heroes|https://pretace.surge.sh/book/t1Omaha.csv
