Author|Title|urlFileName|urlLyric
Led Zeppelin|Sword Beach Heroes - A Whole Lotta Love|https://www.youtube.com/watch?v=mzUWdH5QZcY|https://genius.com/Led-zeppelin-whole-lotta-love-lyrics
Scorpions|Sword Beach Heroes - Rock You Like a Hurricane|https://www.youtube.com/watch?v=WnJFQEHsSrU|https://genius.com/Scorpions-rock-you-like-a-hurricane-lyrics
Rod Stewart|Sword Beach Heroes - Sailing|https://www.youtube.com/watch?v=AEkuo5KDhwk|https://genius.com/Rod-stewart-sailing-lyrics
Ben E. King|Sword Beach Heroes - Stand By Me| shttps://www.youtube.com/watch?v=cyLzq8kyVss|https://genius.com/Ben-e-king-stand-by-me-lyrics
The Lady's Courtesy|Utah Beach Heroes|https://pretace.surge.sh/book/t5Utah.csv
