Author|Title|urlFileName|urlLyric
Simon & Garfunkel|Omaha Beach Heroes - The Sound of Silence|https://www.youtube.com/watch?v=NAEppFUWLfc|https://genius.com/Simon-and-garfunkel-the-sound-of-silence-lyrics
The 100 - RAIGN|Omaha Beach Heroes - Knockin on heaven's door|https://www.youtube.com/watch?v=lIn4sWefvWs|https://genius.com/Bob-dylan-knockin-on-heavens-door-lyrics
Led Zeppelin|Omaha Beach Heroes - Stairway To Heaven|https://www.youtube.com/watch?v=QkF3oxziUI4|https://genius.com/Led-zeppelin-stairway-to-heaven-lyrics
Neil Young|Omaha Beach Heroes - Heart of Gold|https://www.youtube.com/watch?v=WZn9QZykx10|https://genius.com/Neil-young-heart-of-gold-lyrics
The Lady's Courtesy|Gold Beach Heroes|https://pretace.surge.sh/book/t2Gold.csv
