Author|Title|urlFileName|urlLyric
Courtesy of the Lady|Gold Beach Heroes - Whiter Shade of Pale|https://www.youtube.com/watch?v=3_W4A46YxQI|https://genius.com/Procol-harum-a-whiter-shade-of-pale-lyrics
The Beatles|Gold Beach Heroes - Because|https://www.youtube.com/watch?v=2XyuywVao7g|https://genius.com/The-beatles-because-lyrics
Lucy Thomas|Gold Beach Heroes - Hallelujah|https://www.youtube.com/watch?v=4hjgkvuKES8|https://www.letras.com/lucy-thomas/hallelujah/
Scorpions|Gold Beach Heroes - Send Me An Angel|https://www.youtube.com/watch?v=1UUYjd2rjsE|https://genius.com/Scorpions-send-me-an-angel-lyrics
Courtesy of the Lady|Juno Beach Heroes|https://pretace.surge.sh/book/t3Juno.csv
