Author|Title|urlFileName|urlLyric
Simon & Garfunkel|Omaha Beach Heroes - The Sound of Silence|https://www.youtube.com/watch?v=NAEppFUWLfc|
The 100 - RAIGN|Omaha Beach Heroes - Knockin on heaven's door|https://www.youtube.com/watch?v=lIn4sWefvWs|
Led Zeppelin|Omaha Beach Heroes - Stairway To Heaven|https://www.youtube.com/watch?v=QkF3oxziUI4|
Neil Young|Omaha Beach Heroes - Heart of Gold|https://www.youtube.com/watch?v=WZn9QZykx10|
The Lady's Courtesy|Gold Beach Heroes|https://pere000.github.io/pretace/book/t2Gold.csv|
