Author|Title|urlFileName|urlLyric
Lee Marvin|Lee Marvin - Wand’rin’ Star|https://www.youtube.com/watch?v=X5kq12xf1Uk|
The Last of the Mohicans|The Last Of the Mohicans - Promentory|https://www.youtube.com/watch?v=gizPl6mZ_ro|
Rod Stewart|Sailing|https://www.youtube.com/watch?v=AEkuo5KDhwk|
Ben E. King|Soulful Rock Guitar - Stand By Me| shttps://www.youtube.com/watch?v=cyLzq8kyVss
The Lady's Courtesy|Sword Beach Heroes|https://pere000.github.io/pretace/book/t3Sword.csv|
