Author|Title|urlFileName|urlLyric
BobDylanVEVO|Bob Dylan - Knockin' On Heaven's Door (Official Audio)|https://www.youtube.com/watch?v=CGaeMErW_7E&list=RDCGaeMErW_7E&start_radio=1|
Led Zeppelin|Led Zeppelin - Stairway To Heaven (Official Audio)|https://www.youtube.com/watch?v=CGaeMErW_7E&list=RDCGaeMErW_7E&start_radio=1|
SimonGarfunkelVEVO|Simon & Garfunkel - The Sound of Silence (from The Concert in Central Park)|https://www.youtube.com/watch?v=CGaeMErW_7E&list=RDCGaeMErW_7E&start_radio=1|
neilyoungchannel|Neil Young - Heart of Gold (Official Audio)|https://www.youtube.com/watch?v=CGaeMErW_7E&list=RDCGaeMErW_7E&start_radio=1|
