Author|Title|urlFileName|urlLyric
Courtesy of the Lady|Sword cabron1 Beach Heroes - Whiter Shade of Pale|https://www.youtube.com/watch?v=3_W4A46YxQI|
The Beatles|Sword Beach Heroes cabron2 - Because|https://www.youtube.com/watch?v=2XyuywVao7g|
Lucy Thomas|Sword Beach Heroes - Hallelujah|https://www.youtube.com/watch?v=4hjgkvuKES8|
Scorpions|Utah Beach Heroes - Send Me An Angel|https://www.youtube.com/watch?v=1UUYjd2rjsE|
Courtesy of the Lady|Utah Beach Heroes|https://pere000.github.io/pretace/book/t5Utah.csv|
